,Rx Buffer Time (sec),Rx ADC Buffer Values
0,0.025669336318969727,841.0
1,0.05686831474304199,835.0
2,0.08808135986328125,833.0
3,0.11926627159118652,803.0
4,0.1505122184753418,827.0
5,0.18176627159118652,881.0
6,0.21294903755187988,827.0
7,0.2440929412841797,793.0
8,0.2753322124481201,827.0
9,0.3065061569213867,841.0
10,0.3376750946044922,851.0
11,0.36892008781433105,881.0
12,0.4000992774963379,843.0
13,0.4312913417816162,841.0
14,0.46251821517944336,848.0
15,0.4937431812286377,831.0
16,0.5249032974243164,835.0
17,0.5562641620635986,848.0
18,0.5873801708221436,833.0
19,0.6186110973358154,873.0
20,0.6497390270233154,851.0
21,0.6810870170593262,889.0
22,0.7122423648834229,865.0
23,0.743304967880249,825.0
24,0.7745342254638672,875.0
25,0.8056881427764893,715.0
26,0.8370680809020996,600.0
27,0.868211030960083,657.0
28,0.899388313293457,707.0
29,0.9306192398071289,667.0
30,0.9618320465087891,595.0
31,0.9930691719055176,657.0
32,1.024240255355835,603.0
33,1.055448055267334,515.0
34,1.08669114112854,515.0
35,1.1178221702575684,483.0
36,1.1490740776062012,480.0
37,1.1802082061767578,473.0
38,1.2113900184631348,475.0
39,1.2425312995910645,451.0
40,1.2737102508544922,449.0
41,1.3048672676086426,441.0
42,1.3361141681671143,409.0
43,1.367211103439331,401.0
44,1.3983969688415527,385.0
45,1.4295501708984375,339.0
46,1.4607570171356201,395.0
47,1.4919092655181885,323.0
48,1.5231010913848877,336.0
49,1.5542552471160889,319.0
50,1.5855202674865723,315.0
51,1.6166391372680664,297.0
52,1.6477961540222168,297.0
53,1.6791131496429443,331.0
54,1.7101492881774902,263.0
55,1.741349220275879,315.0
56,1.7725651264190674,307.0
57,1.803760290145874,279.0
58,1.8349242210388184,249.0
59,1.8660202026367188,219.0
60,1.8973782062530518,237.0
61,1.928537130355835,227.0
62,1.9597342014312744,213.0
63,1.9910142421722412,208.0
64,2.0221729278564453,203.0
65,2.053395986557007,199.0
